Show_Name,startYear,Episode_Name,seasonNumber,episodeNumber_in_season,episodeNumber_overall,averageRating,numVotes
Grey's Anatomy,2005,A Hard Day's Night,1,1,1,8.3,2608
Grey's Anatomy,2005,The First Cut Is the Deepest,1,2,2,8.1,1817
Grey's Anatomy,2005,Winning a Battle Losing the War,1,3,3,8,1687
Grey's Anatomy,2005,No Man's Land,1,4,4,8,1599
Grey's Anatomy,2005,Shake Your Groove Thing,1,5,5,8.1,1546
Grey's Anatomy,2005,If Tomorrow Never Comes,1,6,6,8.1,1489
Grey's Anatomy,2005,The Self-Destruct Button,1,7,7,8.1,1469
Grey's Anatomy,2005,Save Me,1,8,8,8,1451
Grey's Anatomy,2005,Who's Zoomin' Who?,1,9,9,8.6,1653
Grey's Anatomy,2005,Raindrops Keep Falling on My Head,2,1,10,8.3,1493
Grey's Anatomy,2005,Enough Is Enough,2,2,11,8.1,1361
Grey's Anatomy,2005,Make Me Lose Control,2,3,12,8.6,1502
Grey's Anatomy,2005,Deny Deny Deny,2,4,13,8.4,1414
Grey's Anatomy,2005,Bring the Pain,2,5,14,8.5,1418
Grey's Anatomy,2005,Into You Like a Train,2,6,15,9,1923
Grey's Anatomy,2005,Something to Talk About,2,7,16,8.1,1279
Grey's Anatomy,2005,Let It Be,2,8,17,7.9,1259
Grey's Anatomy,2005,Thanks for the Memories,2,9,18,8.4,1330
Grey's Anatomy,2005,Much Too Much,2,10,19,8.1,1272
Grey's Anatomy,2005,Owner of a Lonely Heart,2,11,20,8.1,1247
Grey's Anatomy,2005,Grandma Got Run Over by a Reindeer,2,12,21,8.1,1259
Grey's Anatomy,2005,Begin the Begin,2,13,22,8.2,1309
Grey's Anatomy,2005,Tell Me Sweet Little Lies,2,14,23,7.9,1250
Grey's Anatomy,2005,Break on Through,2,15,24,8.3,1316
Grey's Anatomy,2005,It's the End of the World,2,16,25,9.4,2871
Grey's Anatomy,2005,As We Know It,2,17,26,9.4,2789
Grey's Anatomy,2005,Yesterday,2,18,27,8.3,1323
Grey's Anatomy,2005,What Have I Done to Deserve This?,2,19,28,8.1,1259
Grey's Anatomy,2005,Band-Aid Covers the Bullet Hole,2,20,29,8,1215
Grey's Anatomy,2005,Superstition,2,21,30,8.1,1209
Grey's Anatomy,2005,The Name of the Game,2,22,31,8.1,1227
Grey's Anatomy,2005,Blues for Sister Someone,2,23,32,7.9,1249
Grey's Anatomy,2005,Damage Case,2,24,33,8.4,1317
Grey's Anatomy,2005,17 Seconds,2,25,34,9,1701
Grey's Anatomy,2005,Deterioration of the Fight or Flight Response,2,26,35,9,1716
Grey's Anatomy,2005,Losing My Religion,2,27,36,9.3,2257
Grey's Anatomy,2005,Time Has Come Today,3,1,37,8.4,1591
Grey's Anatomy,2005,I Am a Tree,3,2,38,8.1,1203
Grey's Anatomy,2005,Sometimes a Fantasy,3,3,39,8.1,1218
Grey's Anatomy,2005,What I Am,3,4,40,8.2,1285
Grey's Anatomy,2005,Oh the Guilt,3,5,41,8,1142
Grey's Anatomy,2005,Let the Angels Commit,3,6,42,8,1551
Grey's Anatomy,2005,Where the Boys Are,3,7,43,8,1297
Grey's Anatomy,2005,Staring at the Sun,3,8,44,8,1254
Grey's Anatomy,2005,From a Whisper to a Scream,3,9,45,8.6,1453
Grey's Anatomy,2005,Don't Stand So Close to Me,3,10,46,8.1,1189
Grey's Anatomy,2005,Six Days: Part 1,3,11,47,8.3,1369
Grey's Anatomy,2005,Six Days: Part 2,3,12,48,8.6,1428
Grey's Anatomy,2005,Great Expectations,3,13,49,8.3,1205
Grey's Anatomy,2005,Wishin' and Hopin',3,14,50,8.5,1220
Grey's Anatomy,2005,Walk on Water,3,15,51,8.8,1500
Grey's Anatomy,2005,Drowning on Dry Land,3,16,52,9,1630
Grey's Anatomy,2005,Some Kind of Miracle,3,17,53,8.5,1629
Grey's Anatomy,2005,Scars and Souvenirs,3,18,54,8.2,1302
Grey's Anatomy,2005,My Favorite Mistake,3,19,55,8.1,1182
Grey's Anatomy,2005,Time After Time,3,20,56,8,1164
Grey's Anatomy,2005,Desire,3,21,57,8,1177
Grey's Anatomy,2005,The Other Side of This Life Part 1,3,22,58,7,1392
Grey's Anatomy,2005,The Other Side of This Life Part 2,3,23,59,7.2,1289
Grey's Anatomy,2005,Testing 1-2-3,3,24,60,8.4,1192
Grey's Anatomy,2005,Didn't We Almost Have It All?,3,25,61,8.7,1671
Grey's Anatomy,2005,A Change Is Gonna Come,4,1,62,8,1295
Grey's Anatomy,2005,Love/Addiction,4,2,63,7.8,1118
Grey's Anatomy,2005,Let the Truth Sting,4,3,64,8,1134
Grey's Anatomy,2005,The Heart of the Matter,4,4,65,8,1165
Grey's Anatomy,2005,Haunt You Every Day,4,5,66,7.9,1135
Grey's Anatomy,2005,Kung Fu Fighting,4,6,67,7.9,1079
Grey's Anatomy,2005,Physical Attraction... Chemical Reaction,4,7,68,7.8,1112
Grey's Anatomy,2005,Forever Young,4,8,69,8,1150
Grey's Anatomy,2005,Crash Into Me: Part 1,4,9,70,8.5,1269
Grey's Anatomy,2005,Crash Into Me: Part 2,4,10,71,8.4,1203
Grey's Anatomy,2005,Lay Your Hands on Me,4,11,72,8,1125
Grey's Anatomy,2005,Where the Wild Things Are,4,12,73,8,1085
Grey's Anatomy,2005,Piece of My Heart,4,13,74,8.2,1099
Grey's Anatomy,2005,The Becoming,4,14,75,8,1281
Grey's Anatomy,2005,Losing My Mind,4,15,76,8.1,1139
Grey's Anatomy,2005,Freedom: Part 1,4,16,77,8.6,1482
Grey's Anatomy,2005,Freedom: Part 2,4,17,78,8.8,1144
Grey's Anatomy,2005,Dream a Little Dream of Me: Part 1,5,1,79,8.2,1292
Grey's Anatomy,2005,Dream a Little Dream of Me: Part 2,5,2,80,8.2,939
Grey's Anatomy,2005,Here Comes the Flood,5,3,81,8.1,1186
Grey's Anatomy,2005,Brave New World,5,4,82,8.3,1286
Grey's Anatomy,2005,There's No 'I' in Team,5,5,83,8.3,1253
Grey's Anatomy,2005,Life During Wartime,5,6,84,8.2,1108
Grey's Anatomy,2005,Rise Up,5,7,85,8.3,1252
Grey's Anatomy,2005,These Ties That Bind,5,8,86,7.9,1299
Grey's Anatomy,2005,In the Midnight Hour,5,9,87,8.2,1299
Grey's Anatomy,2005,All by Myself,5,10,88,8.3,1270
Grey's Anatomy,2005,Wish You Were Here,5,11,89,8.1,1058
Grey's Anatomy,2005,Sympathy for the Devil,5,12,90,8.6,1381
Grey's Anatomy,2005,Stairway to Heaven,5,13,91,9,1651
Grey's Anatomy,2005,Beat Your Heart Out,5,14,92,8.3,1183
Grey's Anatomy,2005,Before and After,5,15,93,8.2,1044
Grey's Anatomy,2005,An Honest Mistake,5,16,94,8.6,1331
Grey's Anatomy,2005,I Will Follow You Into the Dark,5,17,95,8.6,1317
Grey's Anatomy,2005,Stand by Me,5,18,96,8.9,1404
Grey's Anatomy,2005,Elevator Love Letter,5,19,97,8.9,1479
Grey's Anatomy,2005,Sweet Surrender,5,20,98,8.6,1323
Grey's Anatomy,2005,No Good at Saying Sorry (One More Chance),5,21,99,8.3,1063
Grey's Anatomy,2005,What a Difference a Day Makes,5,22,100,9.1,1753
Grey's Anatomy,2005,Here's to Future Days,5,23,101,8.8,1452
Grey's Anatomy,2005,Now or Never,5,24,102,9.5,2778
Grey's Anatomy,2005,Good Mourning,6,1,103,8.4,1350
Grey's Anatomy,2005,Goodbye,6,2,104,8.2,1268
Grey's Anatomy,2005,I Always Feel Like Somebody's Watchin' Me,6,3,105,7.8,1019
Grey's Anatomy,2005,Tainted Obligation,6,4,106,8,1027
Grey's Anatomy,2005,Invasion,6,5,107,8.1,1058
Grey's Anatomy,2005,I Saw What I Saw,6,6,108,9,1738
Grey's Anatomy,2005,Give Peace a Chance,6,7,109,8.7,1246
Grey's Anatomy,2005,Invest in Love,6,8,110,8.4,1138
Grey's Anatomy,2005,New History,6,9,111,8.1,977
Grey's Anatomy,2005,Holidaze,6,10,112,8,1013
Grey's Anatomy,2005,Blink,6,11,113,8.1,974
Grey's Anatomy,2005,I Like You So Much Better When You're Naked,6,12,114,7.9,983
Grey's Anatomy,2005,State of Love and Trust,6,13,115,8.1,953
Grey's Anatomy,2005,Valentine's Day Massacre,6,14,116,8,943
Grey's Anatomy,2005,The Time Warp,6,15,117,8.9,1477
Grey's Anatomy,2005,Perfect Little Accident,6,16,118,8.1,962
Grey's Anatomy,2005,Push,6,17,119,7.9,960
Grey's Anatomy,2005,Suicide Is Painless,6,18,120,7.9,1005
Grey's Anatomy,2005,Sympathy for the Parents,6,19,121,7.9,944
Grey's Anatomy,2005,Hook Line and Sinner,6,20,122,7.7,917
Grey's Anatomy,2005,How Insensitive,6,21,123,8.1,960
Grey's Anatomy,2005,Shiny Happy People,6,22,124,8.2,1168
Grey's Anatomy,2005,Sanctuary,6,23,125,9.7,3209
Grey's Anatomy,2005,Death and All His Friends,6,24,126,9.7,3595
Grey's Anatomy,2005,With You I'm Born Again,7,1,127,7.9,1160
Grey's Anatomy,2005,Shock to the System,7,2,128,7.9,992
Grey's Anatomy,2005,Superfreak,7,3,129,7.8,971
Grey's Anatomy,2005,Can't Fight Biology,7,4,130,7.7,946
Grey's Anatomy,2005,Almost Grown,7,5,131,8,966
Grey's Anatomy,2005,These Arms of Mine,7,6,132,7.7,1380
Grey's Anatomy,2005,That's Me Trying,7,7,133,7.9,985
Grey's Anatomy,2005,Something's Gotta Give,7,8,134,7.9,962
Grey's Anatomy,2005,Slow Night So Long,7,9,135,8.1,992
Grey's Anatomy,2005,Adrift and at Peace,7,10,136,8.2,1114
Grey's Anatomy,2005,Disarm,7,11,137,8.6,1269
Grey's Anatomy,2005,Start Me Up,7,12,138,7.9,960
Grey's Anatomy,2005,Don't Deceive Me (Please Don't Go),7,13,139,7.9,944
Grey's Anatomy,2005,P.Y.T. (Pretty Young Thing),7,14,140,7.7,930
Grey's Anatomy,2005,Golden Hour,7,15,141,8.7,1193
Grey's Anatomy,2005,Not Responsible,7,16,142,7.8,920
Grey's Anatomy,2005,This Is How We Do It,7,17,143,8.1,988
Grey's Anatomy,2005,Song Beneath the Song,7,18,144,6.3,3929
Grey's Anatomy,2005,It's a Long Way Back,7,19,145,7.8,967
Grey's Anatomy,2005,White Wedding,7,20,146,7.9,992
Grey's Anatomy,2005,I Will Survive,7,21,147,7.9,896
Grey's Anatomy,2005,Unaccompanied Minor,7,22,148,8.2,1106
Grey's Anatomy,2005,Free Falling,8,1,149,8.1,1202
Grey's Anatomy,2005,She's Gone,8,2,150,8.3,1165
Grey's Anatomy,2005,Take the Lead,8,3,151,8.1,987
Grey's Anatomy,2005,What Is It About Men,8,4,152,8.2,1025
Grey's Anatomy,2005,Love Loss and Legacy,8,5,153,8.1,1024
Grey's Anatomy,2005,Poker Face,8,6,154,7.9,930
Grey's Anatomy,2005,Put Me in Coach,8,7,155,8.3,1011
Grey's Anatomy,2005,Heart-Shaped Box,8,8,156,8.4,1195
Grey's Anatomy,2005,Dark Was the Night,8,9,157,9.1,1624
Grey's Anatomy,2005,Suddenly,8,10,158,9,1469
Grey's Anatomy,2005,This Magic Moment,8,11,159,8.2,1052
Grey's Anatomy,2005,Hope for the Hopeless,8,12,160,8.3,1095
Grey's Anatomy,2005,If/Then,8,13,161,7.8,1559
Grey's Anatomy,2005,All You Need Is Love,8,14,162,8,927
Grey's Anatomy,2005,Have You Seen Me Lately?,8,15,163,7.9,945
Grey's Anatomy,2005,If Only You Were Lonely,8,16,164,8,1058
Grey's Anatomy,2005,One Step Too Far,8,17,165,7.9,914
Grey's Anatomy,2005,The Lion Sleeps Tonight,8,18,166,8,934
Grey's Anatomy,2005,Support System,8,19,167,8.1,1131
Grey's Anatomy,2005,The Girl with No Name,8,20,168,8.5,997
Grey's Anatomy,2005,Moment of Truth,8,21,169,8.4,1003
Grey's Anatomy,2005,Let the Bad Times Roll,8,22,170,8.5,1083
Grey's Anatomy,2005,Migration,8,23,171,8.6,1149
Grey's Anatomy,2005,Flight,8,24,172,8.8,1974
Grey's Anatomy,2005,Going Going Gone,9,1,173,8.5,1941
Grey's Anatomy,2005,Remember the Time,9,2,174,8.8,1493
Grey's Anatomy,2005,Love the One You're With,9,3,175,8.2,1074
Grey's Anatomy,2005,I Saw Her Standing There,9,4,176,8,948
Grey's Anatomy,2005,Beautiful Doom,9,5,177,8.5,1173
Grey's Anatomy,2005,Second Opinion,9,6,178,8.1,1109
Grey's Anatomy,2005,I Was Made for Lovin' You,9,7,179,8.1,1104
Grey's Anatomy,2005,Love Turns You Upside Down,9,8,180,8.1,956
Grey's Anatomy,2005,Run Baby Run,9,9,181,8.4,1082
Grey's Anatomy,2005,Things We Said Today,9,10,182,8.4,1100
Grey's Anatomy,2005,The End Is the Beginning Is the End,9,11,183,8.1,931
Grey's Anatomy,2005,Walking on a Dream,9,12,184,7.9,903
Grey's Anatomy,2005,Bad Blood,9,13,185,7.8,928
Grey's Anatomy,2005,The Face of Change,9,14,186,8.1,1021
Grey's Anatomy,2005,Hard Bargain,9,15,187,8.2,946
Grey's Anatomy,2005,This Is Why We Fight,9,16,188,8.5,1013
Grey's Anatomy,2005,Transplant Wasteland,9,17,189,8.1,961
Grey's Anatomy,2005,Idle Hands,9,18,190,7.8,932
Grey's Anatomy,2005,Can't Fight This Feeling,9,19,191,7.8,972
Grey's Anatomy,2005,She's Killing Me,9,20,192,7.9,905
Grey's Anatomy,2005,Sleeping Monster,9,21,193,7.8,867
Grey's Anatomy,2005,Do You Believe in Magic,9,22,194,7.7,984
Grey's Anatomy,2005,Readiness Is All,9,23,195,8.4,1005
Grey's Anatomy,2005,Perfect Storm,9,24,196,8.9,1393
Grey's Anatomy,2005,Seal Our Fate,10,1,197,8,1325
Grey's Anatomy,2005,I Want You with Me,10,2,198,7.8,1071
Grey's Anatomy,2005,Everybody's Crying Mercy,10,3,199,7.5,1028
Grey's Anatomy,2005,Puttin' on the Ritz,10,4,200,7.7,1000
Grey's Anatomy,2005,I Bet It Stung,10,5,201,7.5,1004
Grey's Anatomy,2005,Map of You,10,6,202,7.6,1022
Grey's Anatomy,2005,Thriller,10,7,203,7.2,1129
